495	HSD11B1
496	TRAF3IP3
497	LINC00467
498	SLC30A1
499	NEK2
500	DTL
501	ATF3
502	BATF3
503	PROX1
504	PTPN14
505	CENPF
506	TGFB2
507	EPRS
508	IARS2
509	C1orf115
510	MARC2
511	FAM177B
512	CAPN2
513	DEGS1
514	CNIH4
515	WDR26
516	LBR
517	EPHX1
518	LEFTY1
519	MIXL1
520	PARP1
521	GJC2
522	HIST3H2A
523	HIST3H2BB
524	RNF187
525	RHOU
526	RAB4A
527	ABCB10
528	AGT
529	FAM89A
530	C1orf131
531	ARID4B
532	LYST
533	NID1
534	GPR137B
535	LGALS8
536	ACTN2
537	CHRM3
538	CHRM3-AS2
539	FH
540	EXO1
541	SDCCAG8
542	AKT3
543	TRIM58
544	SH3YL1
545	FAM150B
546	PXDN
547	COLEC11
548	AC092580.4
549	MBOAT2
550	ASAP2
551	ITGB1BP1
552	IAH1
553	CYS1
554	RRM2
555	C2orf48
556	HPCAL1
557	ODC1
558	PDIA6
559	LINC00570
560	TRIB2
561	FAM84A
562	DDX1
563	FAM49A
564	RP11-130L8.2
565	ITSN2
566	PTRHD1
567	POMC
568	AC104699.1
569	RAB10
570	CENPA
571	TMEM214
572	EMILIN1
573	KHK
574	PREB
575	SLC5A6
576	GTF3C2-AS1
577	SNX17
578	PPM1G
579	NRBP1
580	IFT172
581	FNDC4
582	FOSL2
583	WDR43
584	YPEL5
585	LBH
586	EHD3
587	DPY30
588	LTBP1
589	RASGRP3
590	LINC01320
591	RP11-490M8.1
592	CRIM1
593	FEZ2
594	VIT
595	QPCT
596	CDC42EP3
597	CYP1B1
598	SLC8A1
599	HAAO
600	SLC3A1
601	EPAS1
602	RHOQ
603	MCFD2
604	BCYRN1
605	EPCAM
606	MSH2
607	NRXN1
608	AC010967.2
609	CHAC2
610	ERLEC1
611	EML6
612	CCDC88A
613	EFEMP1
614	BCL11A
615	REL
616	COMMD1
617	PELI1
618	LINC00309
619	AC007386.4
620	C1D
621	CNRIP1
622	PLEK
623	ANTXR1
624	ANXA4
625	SNRNP27
626	PCYOX1
627	FAM136A
628	ADD2
629	CLEC4F
630	NAGK
631	MCEE
632	CYP26B1
633	PRADC1
634	CCT7
635	EGR4
636	NAT8
637	TPRKB
638	DUSP11
639	ACTG2
640	DGUOK
641	BOLA3
642	MOB1A
643	MTHFD2
644	WDR54
645	HTRA2
646	EVA1A
647	MRPL19
648	REG1A
649	TMSB10
650	TCF7L1
651	CAPG
652	MAT2A
653	GGCX
654	GNLY
655	CHMP3
656	CD8A
657	CD8B
658	PLGLB1
659	LINC00152
660	RP11-1399P15.1
661	PLGLB2
662	FABP1
663	RPIA
664	IGKC
665	IGKV1-12
666	IGKV1-8
667	IGKV4-1
668	IGKV1-5
669	IGKV1-6
670	IGKV1-9
671	IGKV3-11
672	IGKV3-15
673	IGKV1-16
674	IGKV1-17
675	IGKV3-20
676	IGKV6-21
677	IGKV2-24
678	IGKV1-27
679	IGKV2-30
680	IGKV1-39
681	IGKV1D-39
682	IGKV2D-30
683	IGKV2D-29
684	IGKV2D-28
685	IGKV3D-20
686	IGKV6D-41
687	IGKV1D-17
688	IGKV3D-15
689	IGKV1D-12
690	MAL
691	MRPS5
692	PROM2
693	FAHD2A
694	GPAT2
695	DUSP2
696	STARD7
697	NCAPH
698	ARID5A
699	ANKRD39
700	FAM178B
701	ZAP70
702	PDCL3
703	RNF149
704	IL1R2
705	IL1R1
706	IL1RL1
707	AC068535.3
708	FHL2
709	C2orf40
710	ST6GAL2
711	SULT1C2
712	SULT1C4
713	LIMS1
714	SEPT10
715	MALL
716	BUB1
717	ACOXL
718	BCL2L11
719	MIR4435-2HG
720	MERTK
721	SLC20A1
722	CKAP2L
723	IL1B
724	IL1RN
725	AC104653.1
726	LINC01191
727	MARCO
728	STEAP3
729	RALB
730	INHBB
731	NIFK
732	GYPC
733	BIN1
734	PROC
735	MYO7B
736	RP11-286H15.1
737	LIMS2
738	WDR33
739	IMP4
740	PTPN18
741	PLEKHB2
